CGATS.17

ORIGINATOR	"i1Profiler - X-Rite, Inc."
INSTRUMENTATION	"i1Pro 3 ; Serial number 0"
DESCRIPTOR	"Chart 2033 Patches"
FILTER	""
CREATED		"2025-04-06T20:23:11"

NUMBER_OF_FIELDS	5
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	RGB_R	RGB_G	RGB_B	
END_DATA_FORMAT

NUMBER_OF_SETS	2033
BEGIN_DATA
355	-	   92.73	  191.25	   69.55	
356	-	  185.45	  212.50	  255.00	
357	-	   69.55	  233.75	  255.00	
358	-	   69.55	   21.25	  231.82	
359	-	  115.91	  255.00	    0.00	
360	-	   69.55	  148.75	   23.18	
361	-	  162.27	  255.00	  231.82	
362	-	   69.55	  233.75	  162.27	
363	-	  208.64	  233.75	    0.00	
364	-	  115.91	  191.25	    0.00	
365	-	  208.64	   21.25	   69.55	
366	-	   23.18	   85.00	  115.91	
367	-	  139.09	  148.75	  115.91	
368	-	  185.45	  106.25	  115.91	
369	-	    0.00	  255.00	  139.09	
370	-	  231.82	  106.25	  208.64	
371	-	   92.73	  233.75	    0.00	
372	-	  185.45	  191.25	  231.82	
373	-	  185.45	   85.00	  231.82	
374	-	    0.00	  255.00	  162.27	
375	-	  208.64	   63.75	  162.27	
376	-	   46.36	  233.75	  139.09	
377	-	   69.55	   85.00	  162.27	
378	-	  115.91	  191.25	  185.45	
379	-	  185.45	   63.75	   92.73	
380	-	  185.45	  106.25	   46.36	
381	-	   92.73	    0.00	  139.09	
382	-	  255.00	  170.00	  162.27	
383	-	  162.27	   63.75	  231.82	
384	-	    0.00	  212.50	   92.73	
385	-	    0.00	   21.25	   23.18	
386	-	   69.55	  106.25	  139.09	
387	-	  251.73	  205.96	  205.96	
388	-	  115.91	  106.25	   23.18	
389	-	  162.27	   21.25	  139.09	
390	-	   23.18	   85.00	  185.45	
391	-	  208.64	  127.50	  255.00	
392	-	  139.09	   63.75	    0.00	
393	-	  115.91	  170.00	   46.36	
394	-	   69.55	    0.00	  139.09	
395	-	   23.18	  127.50	  208.64	
396	-	  139.09	  127.50	  139.09	
397	-	   92.73	   85.00	   92.73	
398	-	  231.82	  127.50	  139.09	
399	-	  255.00	  148.75	   23.18	
400	-	   69.55	   85.00	  231.82	
401	-	   23.18	  148.75	   92.73	
402	-	   92.73	   21.25	  255.00	
403	-	  231.82	    0.00	   23.18	
404	-	    0.00	   85.00	    0.00	
405	-	  139.09	   21.25	  231.82	
406	-	  255.00	  148.75	   69.55	
407	-	  231.82	  233.75	  231.82	
408	-	    0.00	    0.00	  162.27	
409	-	  231.82	  233.75	   69.55	
410	-	  162.27	   42.50	  255.00	
411	-	  115.08	   94.15	   94.15	
412	-	    0.00	   21.25	  162.27	
413	-	    0.00	    0.00	  255.00	
414	-	  188.31	  188.31	  230.15	
415	-	  231.82	  191.25	   23.18	
416	-	   23.18	  212.50	   69.55	
417	-	  231.82	   21.25	  162.27	
418	-	  255.00	   85.00	  255.00	
419	-	   18.21	   18.21	   18.21	
420	-	  139.09	  233.75	  115.91	
421	-	  162.27	  148.75	   69.55	
422	-	  139.09	  127.50	   69.55	
423	-	  255.00	  233.75	   23.18	
424	-	  139.09	  191.25	  231.82	
425	-	  139.09	  191.25	    0.00	
426	-	  162.27	  191.25	  139.09	
427	-	   69.55	   21.25	   69.55	
428	-	   69.55	  191.25	   23.18	
429	-	  231.82	   63.75	  162.27	
430	-	   23.18	  127.50	  255.00	
431	-	  139.09	   85.00	  255.00	
432	-	  255.00	   21.25	   23.18	
433	-	   69.55	   63.75	  208.64	
434	-	   69.55	   21.25	   92.73	
435	-	  208.64	  212.50	   92.73	
436	-	    0.00	  106.25	  231.82	
437	-	  185.45	  255.00	  139.09	
438	-	   69.55	  255.00	  115.91	
439	-	   23.18	  170.00	   92.73	
440	-	   46.36	   85.00	   46.36	
441	-	  172.62	  141.23	  141.23	
442	-	   23.18	   63.75	  162.27	
443	-	  115.91	   85.00	  208.64	
444	-	  103.21	  103.21	  103.21	
445	-	  139.09	  212.50	  185.45	
446	-	  185.45	   21.25	   46.36	
447	-	  162.27	   63.75	   69.55	
448	-	   23.18	   21.25	  255.00	
449	-	  139.09	  148.75	   46.36	
450	-	  129.46	  158.23	  129.46	
451	-	  162.27	  191.25	   69.55	
452	-	  185.45	   21.25	  208.64	
453	-	   69.55	  255.00	  139.09	
454	-	  162.27	   63.75	  162.27	
455	-	   23.18	  191.25	   92.73	
456	-	  231.82	  212.50	    0.00	
457	-	  208.64	   42.50	  208.64	
458	-	   46.36	   63.75	  162.27	
459	-	   23.18	  255.00	   46.36	
460	-	  208.64	   21.25	   23.18	
461	-	   69.55	   85.00	   69.55	
462	-	  162.27	  106.25	   69.55	
463	-	  162.27	   42.50	   46.36	
464	-	  115.91	  191.25	   92.73	
465	-	  255.00	   63.75	    0.00	
466	-	   23.18	  148.75	  255.00	
467	-	  194.29	  194.29	  194.29	
468	-	  208.64	  106.25	  185.45	
469	-	  162.27	  106.25	   46.36	
470	-	  162.27	   21.25	   69.55	
471	-	  255.00	   42.50	  162.27	
472	-	  115.91	   63.75	   46.36	
473	-	   23.18	  255.00	   92.73	
474	-	   69.55	  127.50	   46.36	
475	-	   69.55	  212.50	  208.64	
476	-	  115.91	  170.00	  231.82	
477	-	   92.73	   21.25	  115.91	
478	-	  231.82	  233.75	   46.36	
479	-	  115.91	  212.50	  185.45	
480	-	  115.91	    0.00	   23.18	
481	-	  208.64	  191.25	  231.82	
482	-	   46.36	    0.00	   23.18	
483	-	  255.00	   21.25	  231.82	
484	-	  208.64	   42.50	  162.27	
485	-	   92.73	   85.00	  185.45	
486	-	   69.55	  233.75	  139.09	
487	-	  208.64	  106.25	  139.09	
488	-	  185.45	  106.25	    0.00	
489	-	  162.27	  127.50	   92.73	
490	-	  255.00	  106.25	    0.00	
491	-	  208.64	  170.00	  208.64	
492	-	   23.54	   28.77	   23.54	
493	-	  237.35	  194.19	  194.19	
494	-	  139.09	   85.00	  208.64	
495	-	  208.64	   21.25	  115.91	
496	-	  139.09	  106.25	  185.45	
497	-	  231.82	  148.75	  115.91	
498	-	   46.36	  233.75	   69.55	
499	-	   92.73	  148.75	   92.73	
500	-	  162.27	   85.00	   23.18	
501	-	  139.09	  148.75	  231.82	
502	-	  208.64	  191.25	   69.55	
503	-	   69.55	   85.00	  185.45	
504	-	  255.00	  127.50	    0.00	
505	-	   23.18	   85.00	  208.64	
506	-	    0.00	  233.75	    0.00	
507	-	    0.00	   42.50	  162.27	
508	-	  115.91	  127.50	   69.55	
509	-	    0.00	  191.25	   92.73	
510	-	  255.00	  106.25	   46.36	
511	-	  208.64	  233.75	  208.64	
512	-	   69.55	  255.00	  231.82	
513	-	   46.36	   63.75	  139.09	
514	-	  162.27	  212.50	    0.00	
515	-	  185.45	  148.75	  255.00	
516	-	   92.73	   42.50	  255.00	
