CTI1   

DESCRIPTOR "Argyll Calibration Target chart information 1"
ORIGINATOR "Argyll targen"
CREATED "Tue Apr  8 19:51:28 2025"
APPROX_WHITE_POINT "95.106486 100.000000 108.844025"
COLOR_REP "iRGB"
WHITE_COLOR_PATCHES "16"
BLACK_COLOR_PATCHES "16"
OFPS_PATCHES "2388"

NUMBER_OF_FIELDS 7
BEGIN_DATA_FORMAT
SAMPLE_ID RGB_R RGB_G RGB_B XYZ_X XYZ_Y XYZ_Z 
END_DATA_FORMAT

NUMBER_OF_SETS 2420
BEGIN_DATA
338 225.2445 255.0000 170.0414 74.41117 90.56514 52.10412
339 119.0566 45.60983 81.15502 10.96837 7.382269 9.446278
340 216.8139 181.7046 195.5122 55.58848 52.50242 59.49688
341 67.49487 255.0000 34.54061 39.02434 73.11698 14.45752
342 255.0000 255.0000 255.0000 95.10649 100.0000 108.8440
343 35.89609 128.3739 0.000000 9.407714 16.74935 3.597265
344 111.0738 55.67249 96.52030 10.99828 7.965330 12.90176
345 57.25221 41.91664 223.0991 16.70220 8.781512 70.87976
346 76.47812 29.21841 100.6823 6.739247 4.345443 13.45540
347 151.2195 134.4982 104.7428 24.69638 25.55558 17.65841
348 0.000000 0.000000 64.74697 1.937435 1.374915 5.937567
349 73.93431 118.8461 255.0000 28.17534 22.61105 97.43085
350 204.9265 28.69634 255.0000 44.20536 21.84445 96.43860
351 255.0000 114.1190 255.0000 65.67220 41.13965 99.03251
352 148.4878 26.54093 255.0000 31.42774 15.18211 95.82555
353 197.7029 190.0960 142.6418 47.11315 51.29857 33.87443
354 0.000000 28.57542 255.0000 19.29588 8.996744 95.27055
355 96.61740 0.000000 91.83715 7.746085 4.257892 11.26370
356 143.2954 198.5680 231.2627 46.70599 52.77428 83.64790
357 0.000000 119.5825 166.0563 14.42007 16.92611 39.12090
358 69.99058 119.9021 99.42847 12.38836 16.46346 15.18168
359 114.8054 57.71496 36.43162 9.780374 7.692178 3.516657
360 164.3756 15.32165 161.4151 22.81383 11.76411 35.51063
361 194.8305 205.0422 0.000000 44.86342 55.70976 9.250371
362 220.3282 100.7327 38.62645 35.25868 25.42266 5.778811
363 155.5623 35.43495 173.6519 22.62886 12.18294 41.49974
364 117.0813 121.8752 110.2940 17.95182 19.62005 18.39349
365 125.1527 185.7232 0.000000 26.72252 39.97794 7.169120
366 103.9221 52.30741 0.000000 7.872683 6.368208 1.674249
367 255.0000 55.67154 211.4897 54.91684 29.50080 65.01158
368 255.0000 156.7385 33.63745 54.00449 45.94832 8.356376
369 47.43438 76.91853 255.0000 22.67358 13.99910 96.05825
370 0.000000 232.2397 0.000000 29.63718 58.26635 10.54581
