CTI1   

DESCRIPTOR "Argyll Calibration Target chart information 1"
ORIGINATOR "Argyll targen"
CREATED "Wed Apr  9 07:56:24 2025"
APPROX_WHITE_POINT "95.106486 100.000000 108.844025"
COLOR_REP "iRGB"
WHITE_COLOR_PATCHES "16"
BLACK_COLOR_PATCHES "16"
OFPS_PATCHES "3158"

NUMBER_OF_FIELDS 7
BEGIN_DATA_FORMAT
SAMPLE_ID RGB_R RGB_G RGB_B XYZ_X XYZ_Y XYZ_Z 
END_DATA_FORMAT

NUMBER_OF_SETS 3190
BEGIN_DATA
248 255.0000 49.24582 126.7999 46.70769 25.75883 23.18822
249 94.64687 255.0000 105.6956 43.60147 75.21482 26.50333
250 109.0859 26.67720 201.6410 18.14820 9.190759 56.79289
251 48.52055 101.4424 78.54604 8.262409 11.48617 9.881559
252 41.70272 0.000000 173.3830 9.438191 4.482702 40.57244
253 255.0000 255.0000 213.7330 89.21895 97.64536 77.83375
254 0.000000 103.0005 0.000000 5.802184 10.60303 2.600741
255 208.3959 99.27915 210.4479 42.88100 27.85050 64.64896
256 165.9762 76.37877 49.46844 19.70812 14.41736 5.533776
257 229.4001 255.0000 72.29935 69.69155 88.82799 20.45779
258 255.0000 137.8666 99.93309 53.08379 40.91796 17.88507
259 255.0000 229.4231 69.73773 70.77392 78.19365 17.92104
260 25.35791 176.2495 0.000000 16.82551 32.04446 6.158986
261 255.0000 112.3091 255.0000 65.47180 40.73891 98.96571
262 45.77900 233.0400 255.0000 48.83783 66.43141 104.8012
263 157.6929 178.6590 51.82158 31.40302 40.19185 10.16039
264 41.23041 0.000000 115.4756 5.005507 2.707725 17.32356
265 18.34594 140.6399 255.0000 28.50243 27.03115 98.26683
266 231.8381 255.0000 0.000000 69.30123 88.76181 14.34329
267 0.000000 98.16013 76.61044 6.651896 10.20218 9.360523
268 175.1379 255.0000 136.0655 58.34388 82.60271 36.82242
269 227.0485 180.4680 255.0000 66.50306 56.82792 102.0170
270 222.9991 206.4239 177.7029 61.00901 63.60558 51.48059
271 0.000000 234.3853 138.6348 34.82729 61.30590 34.91016
272 116.2556 124.4497 179.3687 23.44969 22.31292 46.35992
273 212.1407 0.000000 118.4601 31.18650 16.18664 19.45731
274 255.0000 24.17432 0.000000 42.15713 22.70600 3.022219
275 98.79151 80.09802 0.000000 8.919241 9.308930 2.186774
276 255.0000 0.000000 153.6629 47.57733 24.35067 33.18414
277 218.2025 172.6809 83.86893 46.00020 45.88775 15.57413
278 255.0000 23.48566 255.0000 60.01427 29.82538 97.14652
279 0.000000 161.1630 76.36923 14.95098 26.81141 12.08562
280 61.41167 221.8225 222.1238 41.81658 58.84651 78.53981
281 0.000000 65.69093 137.8520 7.442435 6.633841 25.50427
282 106.3935 134.2832 0.000000 15.41054 21.01445 4.104395
283 64.78558 225.0370 78.36782 31.18688 55.98387 17.23012
284 124.6772 37.54413 61.70931 10.85172 6.978085 6.107011
285 255.0000 255.0000 168.6176 84.29034 95.67422 51.87425
286 255.0000 255.0000 255.0000 95.10649 100.0000 108.8440
287 104.0525 255.0000 208.6636 53.41681 79.25855 72.86633
288 47.33457 255.0000 135.9158 41.97515 74.16416 36.00041
289 230.1246 181.3799 0.000000 49.78500 50.54745 7.994684
290 229.3192 75.90171 128.9391 39.56421 24.21813 23.99721
291 167.7861 96.28078 134.1810 25.38265 19.26153 25.64204
292 98.49675 255.0000 0.000000 41.44539 74.39925 13.03801
293 0.000000 62.12060 78.67484 4.097637 4.977743 8.868795
294 209.8765 218.9692 255.0000 70.22278 71.83455 104.7179
295 233.6493 140.6316 255.0000 61.72841 44.16078 99.82339
296 139.3208 57.22490 217.2447 25.48622 14.35352 67.46260
297 183.4829 230.0887 0.000000 48.48884 67.10082 11.25823
298 233.1503 95.25846 0.000000 38.39365 26.32762 3.919512
299 255.0000 255.0000 20.30968 77.36314 92.90378 15.38801
300 99.30918 190.5004 172.5268 31.88904 43.28406 46.44979
301 52.00597 214.6071 139.0150 30.97793 51.48298 33.36083
302 160.0903 218.5988 255.0000 58.21881 65.50344 104.1280
303 81.72181 153.8954 255.0000 33.71617 32.75584 99.09726
304 82.95943 157.5282 22.90233 16.70648 26.92876 5.975455
305 189.4071 255.0000 48.26084 57.81663 82.77860 16.59045
306 147.9554 0.000000 188.5907 22.13375 10.84981 49.23529
307 20.92521 255.0000 205.1403 47.63685 76.32770 70.36984
308 97.86800 255.0000 83.21830 42.93229 74.98613 21.22109
309 106.7707 47.86954 101.0878 10.34703 7.095115 13.89915
310 90.85713 202.0577 0.000000 26.18199 45.03819 8.174365
311 63.04482 167.3482 81.58549 18.26956 30.13064 13.53711
312 101.3298 0.000000 0.000000 6.350140 3.758550 1.250698
313 255.0000 236.0435 255.0000 89.41153 88.61168 106.9457
314 155.2669 193.3136 124.5171 37.01802 47.27387 27.08937
315 0.000000 0.000000 51.39229 1.600221 1.240051 4.161426
316 209.5352 0.000000 218.0703 39.72197 19.51488 68.26893
317 222.2563 151.9382 113.7223 45.00110 39.82506 21.86024
318 199.4401 177.2123 255.0000 57.91374 51.44148 101.4297
319 59.54612 171.6675 184.4986 25.97936 34.46702 51.32417
320 218.9309 52.30391 39.30271 31.49939 18.50747 4.700100
321 139.1132 20.77800 255.0000 29.69297 14.11517 95.71096
322 158.1157 99.61289 197.6648 29.51204 21.17986 56.10126
323 109.7155 0.000000 209.9428 18.84203 8.868030 61.92375
324 197.4636 61.76138 201.7340 36.13409 20.41018 58.06836
325 0.000000 102.3054 146.2800 10.89250 12.52976 29.74830
326 255.0000 116.0578 139.8790 52.69808 36.30135 29.61549
327 255.0000 206.1468 80.54894 65.17130 66.40217 17.86632
328 91.62157 84.58752 195.2083 18.29270 13.51115 53.75590
329 154.2085 89.89762 97.04565 19.98307 15.90005 14.08702
330 0.000000 22.49002 22.47690 1.441406 1.645950 1.877241
331 42.91145 0.000000 19.43511 2.102781 1.554707 1.678585
332 94.92859 0.000000 99.10172 7.899704 4.299038 12.98862
333 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000
334 63.80051 117.3447 0.000000 9.418542 14.74700 3.210182
335 171.3817 45.05028 0.000000 18.64112 11.47750 2.093336
336 214.2506 0.000000 50.81634 29.11606 15.42877 5.384971
337 152.0417 0.000000 46.38674 14.32379 7.812439 4.212729
338 122.1840 235.3516 255.0000 56.35657 71.27622 105.3404
339 27.53541 119.8053 139.1937 12.71637 16.34045 27.60693
340 255.0000 24.43690 210.9204 53.79401 27.36869 64.28813
341 255.0000 165.7292 26.06553 55.46776 49.02704 8.373515
342 108.4444 68.94542 45.28063 9.754552 8.581126 4.488995
343 232.5906 28.19101 0.000000 34.55380 18.91730 2.691342
344 0.000000 196.8426 216.5777 33.07874 45.39768 72.60498
345 0.000000 255.0000 162.4524 42.90207 74.39885 47.02146
346 231.9253 22.78172 255.0000 52.09418 25.72111 96.77142
347 70.29939 131.8025 188.3390 20.68842 22.19275 51.35957
348 235.0245 255.0000 114.8871 73.39112 90.51693 30.49539
349 0.000000 210.7655 0.000000 24.00552 47.00460 8.668570
350 0.000000 25.21786 185.5403 10.07558 5.187683 47.08108
351 0.000000 164.8876 234.3252 29.05198 33.49867 83.12581
352 0.000000 209.9958 170.3364 31.03228 49.51317 46.60970
353 134.8731 206.1941 159.8604 39.04100 52.38895 41.78794
354 255.0000 103.1332 48.23212 47.17840 31.89450 7.325542
355 126.0784 93.98958 0.000000 13.49221 13.32121 2.720410
356 0.000000 136.4181 179.9815 17.92995 21.80939 46.87681
357 0.000000 199.5723 98.62402 23.56348 42.58184 19.43496
358 217.6645 31.14983 137.6867 34.53544 18.49396 26.30468
359 165.7276 125.5639 58.90757 24.62410 23.97171 8.275093
360 57.95099 147.7890 255.0000 31.04798 29.93790 98.69384
361 115.4686 121.3074 255.0000 32.73884 25.39933 97.72871
362 0.000000 0.000000 204.2930 11.82591 5.329681 58.02119
363 56.41354 176.3200 16.90240 18.17059 32.74684 6.744938
364 210.6045 134.2431 255.0000 53.82989 38.74833 99.19463
365 179.6055 226.3455 163.8249 53.18298 67.24048 45.73737
366 0.000000 23.43588 255.0000 19.18311 8.771223 95.23296
367 231.9612 68.63110 255.0000 53.89126 29.29762 97.36714
368 155.9158 156.0248 210.0317 37.85407 36.14438 66.24506
369 122.4830 208.9149 102.6665 33.97515 51.19583 21.57336
370 217.9208 158.1182 217.9915 54.25657 45.00585 72.37036
371 255.0000 217.6882 131.5603 70.66671 73.16791 32.72357
372 196.8083 101.8455 128.5931 32.33313 23.66413 24.15196
373 23.71393 0.000000 255.0000 19.23735 8.336152 95.14612
374 232.8881 255.0000 221.0930 82.57347 94.10898 82.48422
375 47.45218 42.86835 30.25434 3.267214 3.404126 2.577977
376 46.16206 79.69502 93.33874 6.911993 8.002703 12.37396
377 25.77114 255.0000 232.7378 51.34637 77.82415 89.32681
378 216.6030 255.0000 184.6550 73.25357 89.80097 59.60085
379 255.0000 86.98095 204.6082 56.06648 33.14163 61.25648
380 119.9344 46.92997 0.000000 9.663410 6.956432 1.693479
381 25.68071 255.0000 26.24327 37.00626 72.08875 13.80780
382 169.8380 98.32149 255.0000 39.60348 25.29913 97.34782
383 255.0000 255.0000 126.0476 80.96700 94.34510 34.36988
384 147.9764 55.26186 255.0000 32.32325 17.10908 96.15034
385 41.07741 0.000000 226.0596 15.50795 6.907336 72.67266
386 49.40612 103.9620 46.00916 7.659370 11.64544 5.264790
387 255.0000 186.1295 0.000000 59.24191 56.87077 8.717191
388 55.70490 103.1064 255.0000 25.28212 18.59535 96.80808
389 152.1630 184.7796 0.000000 30.98168 41.88340 7.312608
390 159.7823 255.0000 67.28488 51.72687 79.58341 18.80039
391 187.9718 167.1897 112.4178 38.16086 40.17889 21.90719
392 214.2996 255.0000 240.1760 79.54607 92.23989 96.24983
393 0.000000 214.1331 45.29401 25.31596 48.86588 11.44688
394 46.40441 0.000000 144.2754 7.138664 3.586202 27.41510
395 132.6724 166.6910 0.000000 24.15125 33.15890 5.988270
396 194.1682 77.77686 151.8100 31.34744 19.97992 32.40238
397 161.5606 255.0000 158.5187 57.22391 81.82282 45.90641
398 112.4938 21.22102 255.0000 25.81873 12.12956 95.53173
399 192.3119 255.0000 237.3302 73.18809 89.00980 93.78120
400 208.9858 255.0000 93.69365 64.42121 86.01585 24.48604
401 168.4174 0.000000 167.4318 24.02163 12.06666 38.33608
