CTI1   

DESCRIPTOR "Argyll Calibration Target chart information 1"
ORIGINATOR "Argyll targen"
CREATED "Mon Aug 11 12:25:15 2025"
APPROX_WHITE_POINT "95.106486 100.000000 108.844025"
COLOR_REP "iRGB"
TOTAL_INK_LIMIT "300.0"
WHITE_COLOR_PATCHES "4"
BLACK_COLOR_PATCHES "4"
OFPS_PATCHES "672"

NUMBER_OF_FIELDS 7
BEGIN_DATA_FORMAT
SAMPLE_ID RGB_R RGB_G RGB_B XYZ_X XYZ_Y XYZ_Z 
END_DATA_FORMAT

NUMBER_OF_SETS 680
BEGIN_DATA
435 228.3964 144.7658 118.2002 46.04060 38.67291 22.93500
163 92.04222 79.05902 139.2745 12.78032 10.65264 26.53639
466 225.1551 91.27801 159.6264 41.76818 26.82941 36.60452
439 223.4778 73.66797 68.36812 34.72179 21.83201 8.719462
259 230.9899 255.0000 182.7963 77.47105 91.99779 58.79310
431 63.68895 218.2008 153.2105 33.65767 54.09428 39.46393
315 12.66702 145.8585 32.81482 11.58407 21.49774 5.810683
645 120.4650 141.4130 212.5046 30.05259 28.69683 66.83067
532 70.96428 19.21005 180.5539 12.01678 6.077799 44.45492
45 208.8614 255.0000 0.000000 62.39960 85.20331 14.01989
502 29.97535 138.3122 196.6165 20.50682 23.32914 56.36616
101 64.40124 183.5277 43.55203 20.43456 36.01163 9.050966
249 255.0000 144.9566 104.1916 54.33213 43.07940 19.33399
72 63.87617 255.0000 49.80366 39.05642 73.10204 15.87984
522 165.1231 230.4500 113.2975 47.49616 66.39370 26.73246
13 0.000000 255.0000 0.000000 36.40521 71.80052 12.80184
130 205.2393 169.1921 88.50223 41.83936 42.75305 16.16002
26 91.40472 0.000000 255.0000 23.18223 10.37014 95.33097
41 0.000000 142.4265 109.5660 13.40323 21.38241 18.76762
403 108.4604 230.6457 233.5071 50.00689 66.41915 87.76685
48 0.000000 255.0000 85.06800 38.03133 72.45086 21.36677
386 194.5834 77.28713 17.59391 25.92792 17.76997 3.473808
455 39.89724 0.000000 140.7085 6.601046 3.339818 25.99921
353 92.48439 255.0000 112.4113 43.74143 75.24554 28.38026
487 152.1175 39.25714 236.9144 29.69090 15.12252 81.49410
287 129.5307 255.0000 216.6747 57.80694 81.40587 78.31857
632 35.78024 196.9092 46.91472 21.96682 41.05999 10.28279
376 214.6757 255.0000 90.62812 65.91063 86.79919 23.86151
219 0.000000 170.8881 179.9315 23.54717 33.05034 48.72433
440 182.2296 80.44495 130.7468 27.06517 18.23531 24.12969
31 255.0000 50.67324 255.0000 60.85927 31.51515 97.42819
492 157.8835 53.00572 95.71884 18.27608 11.53837 13.01627
145 0.000000 148.8574 213.0320 23.51373 26.99137 67.19295
275 255.0000 225.4709 125.0062 72.27985 77.07920 31.14734
328 215.2599 113.6784 255.0000 52.61436 34.33404 98.40656
381 170.3253 180.8020 161.1336 40.18360 44.68609 40.82150
118 139.9357 68.83487 0.000000 13.79398 10.70876 2.200237
154 68.00398 231.1631 88.07878 33.44534 59.58318 19.75939
298 210.8439 190.1102 205.9190 56.82760 55.60191 66.37477
261 183.4018 111.9431 113.2821 29.12647 23.66362 19.44731
33 255.0000 71.60428 103.5826 46.55228 27.57082 16.58971
390 238.1438 236.7596 231.0895 80.16558 84.56194 87.89445
104 228.3109 0.000000 35.67916 33.08516 17.50730 4.124079
22 255.0000 255.0000 160.0858 83.52510 95.36818 47.84366
42 139.9255 109.1717 0.000000 17.12787 17.37810 3.312026
40 185.3553 144.4444 255.0000 48.70593 38.28399 99.37487
448 93.42942 183.7662 176.8434 30.27661 40.30291 48.15544
356 52.36185 176.7249 72.07424 19.09354 33.21710 12.34993
558 58.09461 170.9566 220.6424 30.01803 35.85923 73.69692
204 127.5577 108.4495 255.0000 32.97543 23.36911 97.32436
481 233.6776 101.3891 51.35689 39.73426 27.79592 7.274948
621 64.96002 154.8779 31.15505 14.98754 25.37689 6.263143
296 159.5309 74.05582 255.0000 35.55975 20.35573 96.60658
229 85.46804 255.0000 78.16609 41.52393 74.28158 20.17997
566 213.8153 151.5431 25.50091 39.62532 37.28457 6.908749
271 229.7726 72.02658 93.81807 37.52498 23.00960 13.76946
634 15.94987 124.4008 119.0622 11.69717 16.79859 20.78916
541 111.9451 65.22193 98.06746 11.67886 9.049568 13.45116
318 210.5300 51.24699 55.67208 29.34551 17.28961 6.315067
248 33.59691 203.6723 156.4362 28.91959 46.31806 39.61696
392 56.29311 120.1374 80.17304 10.73711 15.74737 10.88292
545 99.63885 68.02907 198.5581 18.36809 11.82034 55.41690
628 61.82923 212.8290 123.2581 30.02764 50.45539 27.65872
227 59.47635 126.2643 230.6920 24.47195 22.46803 78.55046
9 255.0000 255.0000 0.000000 77.23538 92.85269 14.71507
211 121.8254 0.000000 219.1246 21.59754 10.15401 68.13550
489 87.32589 125.4122 88.57396 14.00189 18.35218 12.93164
260 207.6930 127.9199 44.37267 34.75789 29.67996 7.154410
537 146.4512 36.18131 189.4326 22.58676 12.00800 49.90949
511 151.8291 125.5145 36.37939 21.43515 22.37123 5.732117
58 103.2300 160.2034 255.0000 36.91623 35.97476 99.55006
460 235.1063 91.97487 130.1929 42.74442 27.68102 24.93327
